Botswana
Class |  Train |    Val |   Test
-----------------------------------------
    1 |     13 |     13 |    244
    2 |     10 |      5 |     86
    3 |     12 |     12 |    227
    4 |     10 |     10 |    195
    5 |     13 |     13 |    243
    6 |     13 |     13 |    243
    7 |     12 |     12 |    235
    8 |     10 |     10 |    183
    9 |     15 |     15 |    284
   10 |     12 |     12 |    224
   11 |     15 |     15 |    275
   12 |     10 |      9 |    162
   13 |     13 |     13 |    242
   14 |     10 |      4 |     81
