Houston13
Class |  Train |    Val |   Test
------------------------------------------
    1 |     62 |     62 |   1127
    2 |     62 |     62 |   1130
    3 |     34 |     34 |    629
    4 |     62 |     62 |   1120
    5 |     62 |     62 |   1118
    6 |     16 |     16 |    293
    7 |     63 |     63 |   1142
    8 |     62 |     62 |   1120
    9 |     62 |     62 |   1128
   10 |     61 |     61 |   1105
   11 |     61 |     61 |   1113
   12 |     61 |     61 |   1111
   13 |     23 |     23 |    423
   14 |     21 |     21 |    386
   15 |     33 |     33 |    594
