Indian_Pines
Class |  Train |    Val |   Test
---------------------------------------------
    1 |     10 |      2 |     34
    2 |     71 |     71 |   1286
    3 |     41 |     41 |    748
    4 |     11 |     11 |    215
    5 |     24 |     24 |    435
    6 |     36 |     36 |    658
    7 |     10 |      2 |     16
    8 |     23 |     23 |    432
    9 |     10 |      2 |      8
   10 |     48 |     48 |    876
   11 |    122 |    122 |   2211
   12 |     29 |     29 |    535
   13 |     10 |     10 |    185
   14 |     63 |     63 |   1139
   15 |     19 |     19 |    348
   16 |     10 |      4 |     79
