Kennedy_Space_Center
Class |  Train |    Val |   Test
-----------------------------------------------------
    1 |     38 |     38 |    685
    2 |     12 |     12 |    219
    3 |     12 |     12 |    232
    4 |     12 |     12 |    228
    5 |     10 |      8 |    143
    6 |     11 |     11 |    207
    7 |     10 |      5 |     90
    8 |     21 |     21 |    389
    9 |     26 |     26 |    468
   10 |     20 |     20 |    364
   11 |     20 |     20 |    379
   12 |     25 |     25 |    453
   13 |     46 |     46 |    835
