Salinas
Class |  Train |    Val |   Test
----------------------------------------
    1 |    100 |    100 |   1809
    2 |    186 |    186 |   3354
    3 |     98 |     98 |   1780
    4 |     69 |     69 |   1256
    5 |    133 |    133 |   2412
    6 |    197 |    197 |   3565
    7 |    178 |    178 |   3223
    8 |    563 |    563 |  10145
    9 |    310 |    310 |   5583
   10 |    163 |    163 |   2952
   11 |     53 |     53 |    962
   12 |     96 |     96 |   1735
   13 |     45 |     45 |    826
   14 |     53 |     53 |    964
   15 |    363 |    363 |   6542
   16 |     90 |     90 |   1627
