number,value,state,params_batch_size,params_dropout,params_embed_dim,params_epochs,params_gat_depth,params_gat_heads,params_gat_hidden_dim,params_lr,params_patch_size,params_stride,params_transformer_heads,params_transformer_layers,params_weight_decay
0,,RUNNING,64,0.35000000000000003,128,350,6,2,64,6.777467289947909e-05,9,1,2,10,0.0004723716317956988
1,,RUNNING,16,0.2,128,400,10,10,128,1.0057672362347386e-06,11,1,16,8,3.7912251601565702e-06
2,0.6543325526932084,PRUNED,64,0.45,64,200,10,8,128,0.0001393828449787148,11,7,8,2,8.547031114693497e-06
3,0.3362997658079625,PRUNED,48,0.25,64,400,8,2,32,1.5558076561272265e-05,7,7,16,4,6.195894446932152e-05
4,,RUNNING,16,0.45,128,50,4,2,64,9.533043504803882e-07,11,1,4,4,2.4299002417262238e-06
5,,RUNNING,48,0.1,64,500,8,10,32,1.0842271294169625e-05,11,6,16,2,3.5267522762025636e-05
6,0.16721311475409836,PRUNED,48,0.2,128,500,6,4,32,4.757447034255474e-07,5,1,4,6,3.9923757597203803e-07
7,0.16533957845433256,PRUNED,16,0.0,128,150,2,4,64,1.3119314192687867e-06,11,2,16,6,1.6808271613334328e-06
8,0.1522248243559719,PRUNED,32,0.30000000000000004,64,50,6,6,64,1.2937979154766265e-06,7,2,4,8,0.0016746121601562633
9,0.9859484777517564,COMPLETE,64,0.4,128,150,8,2,128,0.00012707153726622365,13,6,16,10,7.258247193596506e-08
10,0.7395784543325526,PRUNED,48,0.5,128,450,6,4,64,8.334950895808907e-05,5,4,2,10,1.2101672569785165e-06
11,0.6641686182669789,COMPLETE,64,0.2,128,100,2,2,64,2.1656603395386415e-07,5,7,8,8,0.0007609658871433003
12,0.994847775175644,COMPLETE,64,0.2,64,200,4,4,32,0.00015871160049527858,11,4,16,10,0.0009538211768148025
13,0.03372365339578454,PRUNED,64,0.25,64,350,10,10,64,7.5204720449650145e-06,11,7,2,8,1.7043938876254502e-08
